# realization, R_28 (parity assym measure for lmax=27)
3.740000000000000000e+02 1.335860746547751443e+00
3.750000000000000000e+02 1.365350872615266775e+00
3.760000000000000000e+02 8.819829939889842763e-01
3.770000000000000000e+02 1.105094468380967143e+00
3.780000000000000000e+02 9.304969334943339332e-01
3.790000000000000000e+02 7.893008395466598603e-01
3.800000000000000000e+02 1.120873721073117668e+00
3.810000000000000000e+02 1.301296250573440227e+00
3.820000000000000000e+02 9.858800300904533298e-01
3.830000000000000000e+02 1.100939833884103880e+00
3.840000000000000000e+02 9.680244728772138263e-01
3.850000000000000000e+02 8.101224424728190598e-01
3.860000000000000000e+02 9.208799706231365345e-01
3.870000000000000000e+02 8.202792434536555488e-01
3.880000000000000000e+02 1.275955276951141748e+00
3.890000000000000000e+02 7.348145672114078097e-01
3.900000000000000000e+02 1.175747440101504226e+00
3.910000000000000000e+02 9.010235693779053978e-01
3.920000000000000000e+02 9.538220322693232722e-01
3.930000000000000000e+02 1.195095062155480781e+00
3.940000000000000000e+02 8.661983899899743378e-01
3.950000000000000000e+02 1.211505279601716945e+00
3.960000000000000000e+02 1.008055987590299241e+00
3.970000000000000000e+02 8.661720585557306507e-01
3.980000000000000000e+02 1.330420466165675331e+00
3.990000000000000000e+02 1.108613074864992498e+00
4.000000000000000000e+02 8.989146126496416755e-01
4.010000000000000000e+02 8.594628455419659474e-01
4.020000000000000000e+02 8.764903369190474303e-01
4.030000000000000000e+02 9.945725688979311085e-01
4.040000000000000000e+02 1.224882289886289888e+00
4.050000000000000000e+02 9.468466298701123662e-01
4.060000000000000000e+02 1.123813623456311861e+00
4.070000000000000000e+02 1.199310621962051515e+00
4.080000000000000000e+02 1.218907675612256991e+00
4.090000000000000000e+02 1.034601172026897054e+00
4.100000000000000000e+02 9.592416706055534315e-01
4.110000000000000000e+02 9.609578754657523980e-01
4.120000000000000000e+02 1.125135695938149549e+00
4.130000000000000000e+02 1.084544023662260104e+00
4.140000000000000000e+02 1.016318164771204957e+00
4.150000000000000000e+02 8.450989963066697364e-01
4.160000000000000000e+02 9.469398223527331071e-01
4.170000000000000000e+02 8.378185093056944588e-01
4.180000000000000000e+02 1.056984917689486547e+00
4.190000000000000000e+02 1.214087036898128691e+00
4.200000000000000000e+02 7.857551923548944384e-01
4.210000000000000000e+02 9.527440117469651026e-01
4.220000000000000000e+02 8.886341031315841965e-01
4.230000000000000000e+02 7.965534348558939159e-01
4.240000000000000000e+02 1.046027550499698755e+00
4.250000000000000000e+02 7.889329695726087222e-01
4.260000000000000000e+02 9.218095347328789657e-01
4.270000000000000000e+02 1.215545371110881456e+00
4.280000000000000000e+02 8.457962726042418389e-01
4.290000000000000000e+02 1.442597505285919457e+00
4.300000000000000000e+02 1.136874965427638884e+00
4.310000000000000000e+02 7.914156265939260582e-01
4.320000000000000000e+02 1.063219369949413906e+00
4.330000000000000000e+02 8.641484524109048770e-01
4.340000000000000000e+02 1.026439127356221670e+00
4.350000000000000000e+02 8.164999091918487828e-01
4.360000000000000000e+02 8.950621702204940577e-01
4.370000000000000000e+02 1.024593484182597880e+00
4.380000000000000000e+02 9.138207524412249594e-01
4.390000000000000000e+02 7.884404182413911055e-01
4.400000000000000000e+02 1.007782837590212033e+00
4.410000000000000000e+02 1.049261835831866607e+00
4.420000000000000000e+02 6.624984606376744800e-01
4.430000000000000000e+02 7.887558221385975177e-01
4.440000000000000000e+02 1.093556277440038693e+00
4.450000000000000000e+02 9.287515371006048737e-01
4.460000000000000000e+02 1.073066173176631777e+00
4.470000000000000000e+02 1.367483353240265487e+00
4.480000000000000000e+02 8.355708218416517674e-01
4.490000000000000000e+02 1.032785425885609731e+00
4.500000000000000000e+02 1.259822145160881535e+00
4.510000000000000000e+02 9.413961607991321312e-01
4.520000000000000000e+02 9.636451911340323528e-01
4.530000000000000000e+02 1.097392876345891333e+00
4.540000000000000000e+02 9.615821326360711740e-01
4.550000000000000000e+02 1.088779892402618632e+00
4.560000000000000000e+02 8.600348825527918128e-01
4.570000000000000000e+02 1.075413801040177697e+00
4.580000000000000000e+02 1.002876007139109404e+00
4.590000000000000000e+02 9.137581457995614942e-01
4.600000000000000000e+02 1.037030519859147404e+00
4.610000000000000000e+02 1.054970739002886848e+00
4.620000000000000000e+02 9.284125298062825271e-01
4.630000000000000000e+02 8.922947986979060664e-01
4.640000000000000000e+02 8.800448045735667080e-01
4.650000000000000000e+02 1.229391990918292654e+00
4.660000000000000000e+02 1.063346946008889127e+00
4.670000000000000000e+02 9.852488959184186879e-01
4.680000000000000000e+02 1.101778997363541679e+00
4.690000000000000000e+02 1.075632305495077601e+00
4.700000000000000000e+02 7.877398288619767985e-01
4.710000000000000000e+02 9.500252991918817225e-01
4.720000000000000000e+02 1.120000741899851215e+00
4.730000000000000000e+02 9.324030310716452385e-01
4.740000000000000000e+02 1.313706320910415837e+00
4.750000000000000000e+02 1.147547396824475152e+00
4.760000000000000000e+02 8.401356068198269078e-01
4.770000000000000000e+02 8.915860984166387171e-01
4.780000000000000000e+02 1.157100535894901805e+00
4.790000000000000000e+02 9.999734268074296217e-01
4.800000000000000000e+02 9.452364529863679365e-01
4.810000000000000000e+02 1.108666291986933894e+00
4.820000000000000000e+02 1.147319824138025357e+00
4.830000000000000000e+02 1.012667458047649127e+00
4.840000000000000000e+02 7.518629434311518978e-01
4.850000000000000000e+02 9.792946578701208216e-01
4.860000000000000000e+02 1.199315487249459800e+00
4.870000000000000000e+02 1.275696653260431912e+00
4.880000000000000000e+02 1.095171284535749301e+00
