# realization, S_1/2
0.000000000000000000e+00 2.663794982662736948e+04
1.000000000000000000e+00 4.415608542463597405e+04
2.000000000000000000e+00 1.984607494703771226e+04
3.000000000000000000e+00 2.045120800678470696e+05
4.000000000000000000e+00 3.485641436850911123e+04
5.000000000000000000e+00 4.150683242693105058e+03
6.000000000000000000e+00 5.043733315871743253e+04
7.000000000000000000e+00 9.640626289018351235e+04
8.000000000000000000e+00 2.231111300759524511e+03
9.000000000000000000e+00 7.800538757882703794e+04
1.000000000000000000e+01 4.220531421226284874e+04
1.100000000000000000e+01 2.933640221966367608e+04
1.200000000000000000e+01 5.068065582424029126e+05
1.300000000000000000e+01 1.699629020317394679e+04
1.400000000000000000e+01 5.590082378558565688e+04
1.500000000000000000e+01 3.395569365562200983e+04
1.600000000000000000e+01 2.200833232194723314e+04
1.700000000000000000e+01 3.660813776507130387e+04
1.800000000000000000e+01 3.585739628159583663e+05
1.900000000000000000e+01 4.046308824388059293e+04
2.000000000000000000e+01 4.876757335812743986e+04
2.100000000000000000e+01 6.205081524322766927e+04
2.200000000000000000e+01 2.030124926700715150e+04
2.300000000000000000e+01 2.441414761025912012e+05
2.400000000000000000e+01 4.830888418283083411e+03
2.500000000000000000e+01 1.674465338062388037e+04
2.600000000000000000e+01 1.589519232161888503e+05
2.700000000000000000e+01 1.730651913125373176e+04
2.800000000000000000e+01 6.525483294674423814e+04
2.900000000000000000e+01 5.886242269476524598e+03
3.000000000000000000e+01 9.867363834411138669e+03
3.100000000000000000e+01 5.751445635454948206e+04
3.200000000000000000e+01 8.605578202286807937e+03
3.300000000000000000e+01 2.922597200290532328e+03
3.400000000000000000e+01 7.473227879212028347e+04
3.500000000000000000e+01 2.585162831370286003e+05
3.600000000000000000e+01 3.337901360564871720e+04
3.700000000000000000e+01 4.522736867876479664e+04
3.800000000000000000e+01 2.790281815080540837e+05
3.900000000000000000e+01 1.345600074926532034e+04
4.000000000000000000e+01 8.083764029076015868e+04
4.100000000000000000e+01 6.980793156953828293e+04
4.200000000000000000e+01 2.880703232092646431e+04
4.300000000000000000e+01 1.526183612986184016e+05
4.400000000000000000e+01 5.030265685326122912e+04
4.500000000000000000e+01 1.136106172712407351e+04
4.600000000000000000e+01 8.420644548709475202e+03
4.700000000000000000e+01 1.911565253562152429e+04
4.800000000000000000e+01 9.230332799585691828e+04
4.900000000000000000e+01 7.191559320513209968e+04
5.000000000000000000e+01 2.179053508643716123e+04
5.100000000000000000e+01 2.610265087399680397e+03
5.200000000000000000e+01 3.385075731533052749e+05
5.300000000000000000e+01 3.144703598625396990e+04
5.400000000000000000e+01 1.354796984861352939e+04
5.500000000000000000e+01 6.172153833292720374e+05
5.600000000000000000e+01 1.079216001288161497e+05
5.700000000000000000e+01 1.190971004225264915e+04
5.800000000000000000e+01 2.309908180678098288e+05
5.900000000000000000e+01 1.059922263567661139e+05
6.000000000000000000e+01 4.250639627674547228e+04
6.100000000000000000e+01 1.557957496996379632e+04
6.200000000000000000e+01 1.473497861522581297e+04
6.300000000000000000e+01 6.771361820288230774e+03
6.400000000000000000e+01 1.457767879340877407e+05
6.500000000000000000e+01 3.021664161055217846e+04
6.600000000000000000e+01 9.744575833363296624e+03
6.700000000000000000e+01 9.843046940825264028e+04
6.800000000000000000e+01 1.688549654286275472e+04
6.900000000000000000e+01 9.410807427268257015e+04
7.000000000000000000e+01 7.300254076571960468e+04
7.100000000000000000e+01 8.346331104685354512e+04
7.200000000000000000e+01 4.712013041682845142e+03
7.300000000000000000e+01 2.227734304450553100e+04
7.400000000000000000e+01 1.001772036267686635e+05
7.500000000000000000e+01 2.030981300278805793e+04
7.600000000000000000e+01 2.552078757252127616e+04
7.700000000000000000e+01 2.429969721342936391e+05
7.800000000000000000e+01 4.469592667254560365e+04
7.900000000000000000e+01 3.598560156991214899e+04
8.000000000000000000e+01 8.167500518729735631e+03
8.100000000000000000e+01 4.614281553702687233e+04
8.200000000000000000e+01 1.814238877804782169e+04
8.300000000000000000e+01 7.442082627610610798e+05
8.400000000000000000e+01 3.330872307135746087e+04
8.500000000000000000e+01 2.930940946969218567e+04
8.600000000000000000e+01 7.693953236559199468e+03
8.700000000000000000e+01 3.523721838540579483e+04
