# realization, C(theta=180) 
2.490000000000000000e+02 -2.837952717456970220e+01
2.500000000000000000e+02 -6.951889900600483543e+02
2.510000000000000000e+02 -1.132587116831802518e+02
2.520000000000000000e+02 6.792818733384468715e+02
2.530000000000000000e+02 8.052513373680271798e+02
2.540000000000000000e+02 -2.833646297937881400e+02
2.550000000000000000e+02 4.578883883665207577e+01
2.560000000000000000e+02 1.810775549652063319e+02
2.570000000000000000e+02 2.456564523322133482e+02
2.580000000000000000e+02 8.236346528581012194e+01
2.590000000000000000e+02 -4.911459406027677232e+01
2.600000000000000000e+02 -1.583893523487377024e+02
2.610000000000000000e+02 5.960360361509839322e+01
2.620000000000000000e+02 -2.590386023410573557e+01
2.630000000000000000e+02 -3.383051498096657497e+02
2.640000000000000000e+02 4.446831299123571171e+02
2.650000000000000000e+02 3.899889397159387272e+01
2.660000000000000000e+02 -3.454362239498874487e+02
2.670000000000000000e+02 9.763193074231219271e+01
2.680000000000000000e+02 8.258619154293917290e+02
2.690000000000000000e+02 3.417852301443024317e+02
2.700000000000000000e+02 1.431536917195067872e+03
2.710000000000000000e+02 5.043403897059413907e+02
2.720000000000000000e+02 -3.776865074327691900e+02
2.730000000000000000e+02 6.349486672860571161e+02
2.740000000000000000e+02 6.165227374016812973e+02
2.750000000000000000e+02 -2.893025933982087849e+02
2.760000000000000000e+02 1.905097428996105009e+02
2.770000000000000000e+02 9.239352682467873592e+02
2.780000000000000000e+02 6.858443981144159807e+02
2.790000000000000000e+02 5.799864550006981290e+02
2.800000000000000000e+02 4.170436464658623095e+02
2.810000000000000000e+02 -1.043248967957783293e+02
2.820000000000000000e+02 8.684428021731714864e+01
2.830000000000000000e+02 1.819208099654563284e+02
2.840000000000000000e+02 3.149847017768304909e+02
2.850000000000000000e+02 1.143413174425072611e+02
2.860000000000000000e+02 1.851239849433699476e+02
2.870000000000000000e+02 1.760001740789574001e+02
2.880000000000000000e+02 -1.658337189974213288e+01
2.890000000000000000e+02 -2.422790201897392421e+02
2.900000000000000000e+02 1.686734975013774260e+02
2.910000000000000000e+02 4.477367580161168235e+02
2.920000000000000000e+02 1.035249801650781592e+03
2.930000000000000000e+02 3.156662011802779375e+02
2.940000000000000000e+02 7.236231587107715768e+02
2.950000000000000000e+02 -1.815559592688574071e+02
2.960000000000000000e+02 -3.080376214386752167e+02
2.970000000000000000e+02 2.332466436716118210e+02
2.980000000000000000e+02 6.867191329426104573e+01
2.990000000000000000e+02 -2.236498706360027597e+02
3.000000000000000000e+02 7.597102551275232827e+02
3.010000000000000000e+02 -2.571114845952569681e+02
3.020000000000000000e+02 -3.414585750338000594e+02
3.030000000000000000e+02 1.484727371199795130e+02
3.040000000000000000e+02 3.688921171133179087e+02
3.050000000000000000e+02 2.890457501541765168e+02
3.060000000000000000e+02 5.562264424320801481e+02
3.070000000000000000e+02 2.498100442563855950e+01
3.080000000000000000e+02 3.178269157051024081e+02
3.090000000000000000e+02 2.016930972625582683e+02
3.100000000000000000e+02 8.894013002300150106e+01
3.110000000000000000e+02 1.744618671668934837e+02
3.120000000000000000e+02 4.703417499401480200e+02
3.130000000000000000e+02 -3.602859399227677386e+02
3.140000000000000000e+02 3.732129901355441604e+01
3.150000000000000000e+02 1.474808006197853558e+02
3.160000000000000000e+02 2.493322809761698409e+02
3.170000000000000000e+02 1.456829570937791374e+01
3.180000000000000000e+02 5.805115704321417525e+02
3.190000000000000000e+02 4.225019147514202018e+02
3.200000000000000000e+02 4.463753584468603322e+02
3.210000000000000000e+02 2.536013028394870616e+02
3.220000000000000000e+02 1.630416757235052501e+02
3.230000000000000000e+02 -1.227293374076355121e+02
3.240000000000000000e+02 -1.414512488694664682e+02
3.250000000000000000e+02 5.964287353982361992e+02
3.260000000000000000e+02 6.835833505326280601e+02
3.270000000000000000e+02 5.987005009873485051e+02
3.280000000000000000e+02 -1.168205416648011692e+02
3.290000000000000000e+02 -4.850734078493019297e+01
3.300000000000000000e+02 3.587573092563862929e+02
3.310000000000000000e+02 5.367884724579581643e+02
3.320000000000000000e+02 -1.223921563908034500e+02
3.330000000000000000e+02 -3.993756115889848957e+02
3.340000000000000000e+02 1.064836003639887991e+02
3.350000000000000000e+02 2.787357245435971436e+02
3.360000000000000000e+02 -1.758438530283411581e+02
3.370000000000000000e+02 6.651513580267463794e+02
3.380000000000000000e+02 5.694484019537803761e+02
3.390000000000000000e+02 -3.521596304841054348e+01
3.400000000000000000e+02 1.098071108985418277e+03
3.410000000000000000e+02 4.813178598836022388e+02
3.420000000000000000e+02 6.538178890545909780e+02
3.430000000000000000e+02 3.859768293037899980e+02
3.440000000000000000e+02 5.270266720291125466e+02
3.450000000000000000e+02 5.449374632749716056e+02
3.460000000000000000e+02 8.629690388632157010e+02
3.470000000000000000e+02 -4.079242505576280564e+01
3.480000000000000000e+02 2.429160405985470277e+02
3.490000000000000000e+02 1.508045974877521189e+01
3.500000000000000000e+02 4.267565299220769930e+02
3.510000000000000000e+02 4.655290117574222108e+01
3.520000000000000000e+02 6.419522233312740127e+02
3.530000000000000000e+02 4.341915366442632376e+02
3.540000000000000000e+02 2.765434517315127323e+02
3.550000000000000000e+02 6.039931983510062992e+02
3.560000000000000000e+02 -4.226469421245789704e+01
3.570000000000000000e+02 1.344891374275078988e+00
3.580000000000000000e+02 3.939911234843578427e+02
3.590000000000000000e+02 1.240798037407686707e+03
3.600000000000000000e+02 1.232714719833066255e+02
3.610000000000000000e+02 3.549247126077301573e+02
3.620000000000000000e+02 2.586669124804120088e+02
3.630000000000000000e+02 2.000068219329988608e+02
3.640000000000000000e+02 -3.946279671861930183e+02
3.650000000000000000e+02 3.833045065598237784e+02
3.660000000000000000e+02 2.767411803669101005e+02
3.670000000000000000e+02 7.197476041351737308e+01
3.680000000000000000e+02 1.193897293171726801e+02
3.690000000000000000e+02 -5.573656270586171786e+02
3.700000000000000000e+02 1.264686902418846330e+03
3.710000000000000000e+02 -1.081058143174817587e+02
3.720000000000000000e+02 7.631521246870588016e+01
3.730000000000000000e+02 -4.005803455752851505e+01
