# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.049892252440048246e+01 1.094327735593985153e+03 5.317900605802739165e+02 1.414605725192938507e+03 1.004845193896305222e+00 2.788686693836776840e+02 4.114918790426850825e-01 1.027329310967716597e-01
1.146432756176481105e+00 7.047555249583090244e+02 2.901134648137887098e+02 3.613462253864739750e+02 1.306934731161907282e-01 3.993488102438929559e+02 1.360591325486587566e-01 4.476561679857894022e-02
9.999999999999997780e-01 7.809063133656573008e-01 2.147833907465008241e-01 7.853248078811888577e-01 2.861144826810631536e-01 5.815107287345709919e-01 -1.708128652255555546e-02 3.653783628787985946e-03
7.809063133656573008e-01 9.999999999999998890e-01 9.057111260079677914e-03 6.911802488369227504e-01 4.335056127485872879e-01 6.885763144507002220e-01 -3.249081582174886268e-02 -2.219922080388953001e-02
2.147833907465008241e-01 9.057111260079677914e-03 1.000000000000000000e+00 3.671418366190638549e-01 -3.646499678101625119e-01 -3.554578447280665188e-01 2.002834039263317809e-02 1.969720471474861387e-02
7.853248078811888577e-01 6.911802488369227504e-01 3.671418366190639104e-01 1.000000000000000000e+00 2.024652040716573842e-01 4.908844283886068527e-01 7.905408439380939454e-04 8.731398050003699729e-02
2.861144826810632091e-01 4.335056127485872879e-01 -3.646499678101625119e-01 2.024652040716573564e-01 1.000000000000000000e+00 7.196911919497390731e-01 -3.170445531829766544e-02 4.814418685657682884e-02
5.815107287345709919e-01 6.885763144507002220e-01 -3.554578447280665743e-01 4.908844283886068527e-01 7.196911919497391841e-01 1.000000000000000000e+00 -2.505636942698278788e-02 1.991283889238002966e-02
-1.708128652255555546e-02 -3.249081582174886268e-02 2.002834039263317809e-02 7.905408439380938370e-04 -3.170445531829766544e-02 -2.505636942698278788e-02 1.000000000000000000e+00 3.160305028377133341e-02
3.653783628787985946e-03 -2.219922080388953001e-02 1.969720471474861387e-02 8.731398050003699729e-02 4.814418685657682884e-02 1.991283889238002966e-02 3.160305028377134035e-02 9.999999999999998890e-01
