# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.054013510293388833e+01 1.169084531896781300e+03 5.208691479343482342e+02 1.431592519883909972e+03 1.016917996280028547e+00 3.263317694636100441e+02 4.131245555170504624e-01 1.029668376735844021e-01
1.207063822495248573e+00 7.225272719681390754e+02 2.799391580615746875e+02 3.709667891255510312e+02 1.272503194153729034e-01 3.842858781861463626e+02 1.384092182691301076e-01 4.475361805999989590e-02
9.999999999999997780e-01 7.924593152758252490e-01 2.092205736507457003e-01 8.095250241099367638e-01 3.169588422300195774e-01 6.185294345037317676e-01 -2.896604700152684286e-02 5.132138269072261672e-02
7.924593152758251380e-01 1.000000000000000000e+00 7.375589047310934787e-02 7.248139866281447796e-01 4.372118717685641864e-01 6.678780564941928510e-01 -1.573060713847648784e-02 4.720584715755501981e-02
2.092205736507456726e-01 7.375589047310936175e-02 9.999999999999997780e-01 3.890581497192375782e-01 -2.971490612283228527e-01 -3.043751295529888434e-01 -1.581159919655267254e-02 3.296784446640505656e-02
8.095250241099365418e-01 7.248139866281447796e-01 3.890581497192375782e-01 1.000000000000000000e+00 2.187801896328784301e-01 4.952189325954119425e-01 -1.938013847989148580e-02 9.571146698987999246e-02
3.169588422300195774e-01 4.372118717685641864e-01 -2.971490612283228527e-01 2.187801896328784301e-01 1.000000000000000000e+00 6.909693641539128572e-01 -1.463835829271738741e-02 -1.978085790699287382e-03
6.185294345037317676e-01 6.678780564941928510e-01 -3.043751295529887879e-01 4.952189325954119425e-01 6.909693641539127462e-01 1.000000000000000000e+00 -9.367514051629171820e-03 8.257574123609763214e-03
-2.896604700152683592e-02 -1.573060713847648784e-02 -1.581159919655267254e-02 -1.938013847989148233e-02 -1.463835829271738567e-02 -9.367514051629170085e-03 1.000000000000000000e+00 2.957729585874984551e-02
5.132138269072262365e-02 4.720584715755501287e-02 3.296784446640504962e-02 9.571146698987999246e-02 -1.978085790699286948e-03 8.257574123609763214e-03 2.957729585874984551e-02 9.999999999999998890e-01
