# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.049031856624008441e+01 1.136130081674593839e+03 5.271997266707476228e+02 1.429279073849111228e+03 1.008183756703947109e+00 2.982100614988084999e+02 4.089159176895607040e-01 1.080480600965918608e-01
1.180229456369890295e+00 7.532049574252831690e+02 2.799733110684176154e+02 3.723510302309493909e+02 1.335153816349277656e-01 4.137153889078732050e+02 1.401310852595117618e-01 4.489125883188858218e-02
9.999999999999997780e-01 7.999896027782583685e-01 1.334110068960941975e-01 7.954757445160091089e-01 3.754627546869111487e-01 6.333220971053792336e-01 -5.265541967154167835e-02 3.688061592826052948e-02
7.999896027782582575e-01 1.000000000000000000e+00 -1.233568266745637201e-02 7.215289632593352431e-01 4.925512580274208907e-01 7.072187275443991838e-01 -6.710427047040169735e-02 3.740322894343015014e-02
1.334110068960941697e-01 -1.233568266745637028e-02 1.000000000000000000e+00 3.242910151985317069e-01 -3.353337583661896160e-01 -3.438518178569309192e-01 3.693050686641342895e-02 7.348322932177342275e-03
7.954757445160089979e-01 7.215289632593352431e-01 3.242910151985317069e-01 1.000000000000000000e+00 3.153743306076713382e-01 5.459248733194759229e-01 -6.031819091423971241e-02 7.136604988492557811e-02
3.754627546869112042e-01 4.925512580274208352e-01 -3.353337583661896160e-01 3.153743306076713382e-01 1.000000000000000000e+00 7.320762630908043134e-01 -5.568493273522333309e-02 4.212570332287710745e-02
6.333220971053792336e-01 7.072187275443992949e-01 -3.438518178569309192e-01 5.459248733194759229e-01 7.320762630908042023e-01 1.000000000000000000e+00 -6.673222395527630968e-02 4.272853401924895517e-02
-5.265541967154167835e-02 -6.710427047040169735e-02 3.693050686641342895e-02 -6.031819091423972629e-02 -5.568493273522334003e-02 -6.673222395527630968e-02 1.000000000000000000e+00 4.485616140918278344e-02
3.688061592826052948e-02 3.740322894343015014e-02 7.348322932177342275e-03 7.136604988492557811e-02 4.212570332287710745e-02 4.272853401924894823e-02 4.485616140918278344e-02 1.000000000000000000e+00
