# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.045584530807012236e+01 1.110621159505445576e+03 5.337202160683624470e+02 1.402174127335601497e+03 1.010104442807989500e+00 2.680143366861949517e+02 4.100680825454647294e-01 1.054634337119465942e-01
1.137639949027799968e+00 6.786582878427979040e+02 2.861914031435256334e+02 3.530886768734619068e+02 1.325651747655619828e-01 3.730556453710941014e+02 1.400346859218635776e-01 4.627472897051572442e-02
1.000000000000000000e+00 7.777368073269246285e-01 2.227777019139275949e-01 8.150679151669635303e-01 2.622629322045990086e-01 5.509690416152626113e-01 -4.562565570393314202e-02 -2.984488059281341713e-02
7.777368073269247395e-01 1.000000000000000000e+00 2.876305653610512075e-02 7.090476784378966224e-01 4.403734779139362177e-01 6.653138755586259778e-01 -3.224301523600561943e-03 1.570870717458592355e-03
2.227777019139275672e-01 2.876305653610512075e-02 1.000000000000000000e+00 3.812186841914466107e-01 -3.733046949204037457e-01 -3.772700838810712498e-01 -4.901794010495520715e-02 1.763143841692331806e-02
8.150679151669635303e-01 7.090476784378966224e-01 3.812186841914466107e-01 1.000000000000000000e+00 2.298737371993878897e-01 4.754174686716463594e-01 -2.168977604691104191e-02 4.039940982261262109e-02
2.622629322045990086e-01 4.403734779139362177e-01 -3.733046949204037457e-01 2.298737371993879175e-01 1.000000000000000000e+00 7.185782923783395892e-01 1.402121744873871881e-02 2.171010379503592394e-02
5.509690416152626113e-01 6.653138755586260888e-01 -3.772700838810712498e-01 4.754174686716463594e-01 7.185782923783397003e-01 1.000000000000000000e+00 -4.856598749603602445e-03 -7.427676757615827088e-03
-4.562565570393314202e-02 -3.224301523600562377e-03 -4.901794010495520715e-02 -2.168977604691104191e-02 1.402121744873871707e-02 -4.856598749603603313e-03 1.000000000000000000e+00 2.587074198060286892e-02
-2.984488059281341713e-02 1.570870717458592572e-03 1.763143841692331806e-02 4.039940982261261415e-02 2.171010379503592741e-02 -7.427676757615827088e-03 2.587074198060286892e-02 1.000000000000000000e+00
