# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.054269021382271632e+01 1.161893386507119203e+03 5.248474548736747920e+02 1.426464138209945077e+03 1.012861788445535316e+00 3.050212987291006925e+02 4.106701645846279614e-01 1.029074952840327711e-01
1.191825231590110779e+00 7.184297242841059870e+02 2.887390159982559226e+02 3.622481407632075161e+02 1.279326181963549580e-01 3.729407644590506834e+02 1.435281669185553555e-01 4.444340973156286206e-02
1.000000000000000000e+00 7.964704687427816010e-01 1.784810697036614546e-01 8.012039200659554217e-01 2.791382216610123201e-01 6.085903385283373268e-01 4.001806509574230147e-03 1.540145462055469115e-02
7.964704687427817120e-01 1.000000000000000000e+00 1.489536680517556007e-02 7.156978922498760110e-01 4.314712744520193266e-01 6.885435224156498668e-01 2.110232017159205734e-02 7.886980364373484542e-03
1.784810697036614269e-01 1.489536680517556180e-02 1.000000000000000000e+00 3.791599572694390741e-01 -3.425973759112164174e-01 -3.720678454023038095e-01 -2.548155521645905155e-02 1.479342156754245331e-02
8.012039200659555327e-01 7.156978922498760110e-01 3.791599572694391296e-01 1.000000000000000000e+00 1.832621382215214867e-01 4.696958882209735786e-01 1.105561574743193706e-03 7.520285566323596516e-02
2.791382216610123201e-01 4.314712744520192711e-01 -3.425973759112164729e-01 1.832621382215214867e-01 1.000000000000000000e+00 6.931131869466716777e-01 9.081137184542055485e-02 -2.875572539955705692e-02
6.085903385283373268e-01 6.885435224156498668e-01 -3.720678454023037540e-01 4.696958882209735786e-01 6.931131869466716777e-01 1.000000000000000000e+00 5.868755814513549468e-02 -1.123130583330888416e-02
4.001806509574230147e-03 2.110232017159205734e-02 -2.548155521645905155e-02 1.105561574743193923e-03 9.081137184542055485e-02 5.868755814513549468e-02 1.000000000000000000e+00 6.871801542528595264e-02
1.540145462055469115e-02 7.886980364373484542e-03 1.479342156754245158e-02 7.520285566323596516e-02 -2.875572539955705692e-02 -1.123130583330888242e-02 6.871801542528595264e-02 1.000000000000000000e+00
