# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.051524078389246064e+01 1.134700647384423746e+03 5.223111077003050013e+02 1.421371530818895053e+03 1.012304699283057108e+00 2.884521892012609214e+02 4.033604091286319138e-01 1.050199355815650548e-01
1.150135467585825078e+00 7.093351146218886925e+02 2.738735418268030344e+02 3.505032775319009488e+02 1.311110412626735611e-01 3.886021282271163386e+02 1.369780005131318312e-01 4.293762059865009056e-02
1.000000000000000000e+00 8.059294159107158739e-01 1.664357919632575011e-01 7.959344875382563522e-01 3.396924807663004309e-01 6.044596530348105290e-01 -1.413417117670843874e-02 3.857834122917665892e-02
8.059294159107158739e-01 1.000000000000000000e+00 1.280143068121411716e-02 7.113386796162808334e-01 4.779889824238293117e-01 6.908862436495898374e-01 1.224937288909917418e-02 4.992741392060572742e-02
1.664357919632574734e-01 1.280143068121411716e-02 1.000000000000000000e+00 3.411296472601138552e-01 -3.069871860091028526e-01 -3.211358502707655771e-01 -3.420543753371465406e-02 -4.791426076098803145e-03
7.959344875382563522e-01 7.113386796162809445e-01 3.411296472601138552e-01 1.000000000000000000e+00 2.923825769103528538e-01 5.227850513756292505e-01 1.916857863740829143e-02 7.238794586883570692e-02
3.396924807663004309e-01 4.779889824238293117e-01 -3.069871860091028526e-01 2.923825769103528538e-01 1.000000000000000000e+00 7.225931002985053198e-01 1.345474739858370725e-02 5.694580284316910768e-02
6.044596530348105290e-01 6.908862436495898374e-01 -3.211358502707655771e-01 5.227850513756291395e-01 7.225931002985053198e-01 1.000000000000000000e+00 1.555270714546781730e-02 7.407523232594653839e-02
-1.413417117670843874e-02 1.224937288909917418e-02 -3.420543753371465406e-02 1.916857863740829143e-02 1.345474739858370725e-02 1.555270714546781730e-02 1.000000000000000000e+00 -4.038318423804364982e-02
3.857834122917666586e-02 4.992741392060574129e-02 -4.791426076098804013e-03 7.238794586883570692e-02 5.694580284316910768e-02 7.407523232594655227e-02 -4.038318423804364982e-02 1.000000000000000000e+00
