# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.044192636995738610e+01 1.109295029737127152e+03 5.222420003230578232e+02 1.402822599058520609e+03 1.008542037348437059e+00 2.792374176608899461e+02 4.114580390887069283e-01 1.089056059774835411e-01
1.187474918440359017e+00 6.839890482713856272e+02 2.705592264705562116e+02 3.767500766136870993e+02 1.261434376751892072e-01 3.738043849928666305e+02 1.396966466770888093e-01 4.627181174857623175e-02
1.000000000000000000e+00 7.949096148817690333e-01 2.266802345358409632e-01 8.013869224699150529e-01 2.902674340978503853e-01 5.968051686258245558e-01 -2.687657417677882452e-02 1.854185022290570292e-02
7.949096148817691443e-01 1.000000000000000000e+00 8.099226051370593538e-02 7.059969299422154121e-01 4.232885721976856752e-01 6.795558922179467665e-01 -5.383845461316452696e-02 2.902703110782145143e-02
2.266802345358409632e-01 8.099226051370592150e-02 1.000000000000000000e+00 4.127153405353879978e-01 -3.457829771506108485e-01 -3.029505329438537675e-01 -3.963482952406387899e-02 2.082156585458084033e-02
8.013869224699151639e-01 7.059969299422155231e-01 4.127153405353879978e-01 1.000000000000000000e+00 2.055796229610445669e-01 4.908682061996384460e-01 -4.682904585471836523e-02 5.874869428111847980e-02
2.902674340978503853e-01 4.232885721976856752e-01 -3.457829771506108485e-01 2.055796229610445391e-01 1.000000000000000000e+00 7.267250137482593741e-01 -3.383306231232195704e-02 2.064589866293195519e-02
5.968051686258245558e-01 6.795558922179467665e-01 -3.029505329438537120e-01 4.908682061996384460e-01 7.267250137482593741e-01 1.000000000000000000e+00 -3.440675536495975406e-02 2.735453678191136079e-02
-2.687657417677882452e-02 -5.383845461316452696e-02 -3.963482952406387899e-02 -4.682904585471836523e-02 -3.383306231232196398e-02 -3.440675536495975406e-02 9.999999999999997780e-01 -2.281938387112873723e-02
1.854185022290570292e-02 2.902703110782145143e-02 2.082156585458084033e-02 5.874869428111847980e-02 2.064589866293195172e-02 2.735453678191136426e-02 -2.281938387112873723e-02 9.999999999999998890e-01
