# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.048658236822581102e+01 1.136290541728513517e+03 5.123619997837319033e+02 1.406856161044814598e+03 1.012292262031653012e+00 2.953682469706810139e+02 4.094732593215399952e-01 1.065489458249854887e-01
1.214294036169634605e+00 7.210582463932895507e+02 2.753522600246707839e+02 3.737113278272540811e+02 1.289554492459058233e-01 3.886833791241323866e+02 1.423908607558646011e-01 4.604994044397166947e-02
1.000000000000000000e+00 8.069671280376805589e-01 1.757124252870823633e-01 8.152645094093862177e-01 3.196373660861940302e-01 6.387461567834707976e-01 -6.350901903683682515e-02 3.603958776525049285e-02
8.069671280376805589e-01 1.000000000000000000e+00 1.898161640580084061e-02 7.339564150356464589e-01 4.580531367702198597e-01 7.157079880387950954e-01 -5.287437583565724603e-02 2.640948372500105321e-02
1.757124252870823633e-01 1.898161640580084061e-02 9.999999999999997780e-01 3.468401667015892365e-01 -3.653234491175900156e-01 -3.330590464618421453e-01 -5.453214516121906302e-02 3.106698967416118146e-02
8.152645094093862177e-01 7.339564150356463479e-01 3.468401667015892365e-01 1.000000000000000000e+00 2.397462465148421651e-01 5.407747692936427653e-01 -7.980018812747505241e-02 5.875260361901316064e-02
3.196373660861939747e-01 4.580531367702198597e-01 -3.653234491175900156e-01 2.397462465148421651e-01 9.999999999999997780e-01 7.198466859003679330e-01 -1.417970198286147565e-02 3.061072274172653776e-02
6.387461567834707976e-01 7.157079880387952064e-01 -3.330590464618420898e-01 5.407747692936427653e-01 7.198466859003680440e-01 1.000000000000000000e+00 -5.256840298040289794e-02 1.511358985457884538e-02
-6.350901903683682515e-02 -5.287437583565723909e-02 -5.453214516121906302e-02 -7.980018812747505241e-02 -1.417970198286147565e-02 -5.256840298040289794e-02 9.999999999999997780e-01 -3.845839369310864730e-02
3.603958776525049285e-02 2.640948372500104974e-02 3.106698967416118493e-02 5.875260361901316064e-02 3.061072274172653776e-02 1.511358985457884364e-02 -3.845839369310865424e-02 1.000000000000000000e+00
