# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.053135995611566322e+01 1.128377403333298844e+03 5.179008294738376890e+02 1.414727903989809420e+03 1.010816975002833518e+00 2.916544379249472172e+02 4.073543846810679381e-01 1.041166388321091291e-01
1.172678266311911077e+00 7.010303522321837590e+02 2.870534078016673334e+02 3.549511692165073669e+02 1.248031808861708031e-01 3.723509163009965164e+02 1.441792495100203686e-01 4.516507895081681156e-02
1.000000000000000000e+00 7.991739859411113311e-01 1.516773382958072625e-01 7.938682613803781374e-01 3.067966910465133590e-01 6.183157171218420789e-01 -1.133346104933780768e-02 4.583590851773500230e-02
7.991739859411113311e-01 1.000000000000000000e+00 -1.212624950819497088e-02 7.069937997494174509e-01 4.371741695502682767e-01 6.858754873439301125e-01 3.807236657558755143e-03 3.891765237837589014e-02
1.516773382958072625e-01 -1.212624950819496915e-02 1.000000000000000000e+00 3.507442317089558559e-01 -3.131093996987275863e-01 -3.639326880358149108e-01 4.917454380880646606e-04 2.326384259423126821e-02
7.938682613803781374e-01 7.069937997494174509e-01 3.507442317089558559e-01 9.999999999999998890e-01 2.342266445545651554e-01 5.030227503263302591e-01 -1.196280058127153004e-02 9.557383641437763866e-02
3.067966910465134145e-01 4.371741695502682212e-01 -3.131093996987275307e-01 2.342266445545651832e-01 9.999999999999998890e-01 7.038133601115157401e-01 6.247922688344720137e-03 3.808919665146777433e-02
6.183157171218420789e-01 6.858754873439301125e-01 -3.639326880358149108e-01 5.030227503263303701e-01 7.038133601115157401e-01 1.000000000000000000e+00 3.851243640754622392e-03 2.602548340633306298e-02
-1.133346104933780768e-02 3.807236657558754275e-03 4.917454380880646606e-04 -1.196280058127152830e-02 6.247922688344720137e-03 3.851243640754622392e-03 9.999999999999997780e-01 7.225584899897713465e-02
4.583590851773500230e-02 3.891765237837589014e-02 2.326384259423126821e-02 9.557383641437763866e-02 3.808919665146778127e-02 2.602548340633306298e-02 7.225584899897712077e-02 1.000000000000000000e+00
