# realization, C(theta=180) 
1.249900000000000000e+04 9.824840006147869644e+02
1.250000000000000000e+04 4.735490442667547200e+02
1.250100000000000000e+04 7.036084431254712968e+01
1.250200000000000000e+04 2.796828529425420129e+02
1.250300000000000000e+04 2.197856881146168746e+02
1.250400000000000000e+04 8.656475106943257458e+01
1.250500000000000000e+04 4.696673595319180095e+02
1.250600000000000000e+04 2.826044992369185138e+02
1.250700000000000000e+04 2.881013131453309484e+02
1.250800000000000000e+04 2.438357613180444332e+02
1.250900000000000000e+04 1.624092945417303326e+02
1.251000000000000000e+04 -5.741649785032421960e+01
1.251100000000000000e+04 4.674119873759269694e+02
1.251200000000000000e+04 2.962734724894022520e+02
1.251300000000000000e+04 5.994175504584055858e+01
1.251400000000000000e+04 1.979762734318684920e+02
1.251500000000000000e+04 -2.193797097286691269e+02
1.251600000000000000e+04 6.885682495290566294e+02
1.251700000000000000e+04 4.766359547208210188e+02
1.251800000000000000e+04 6.866576248432168086e+02
1.251900000000000000e+04 7.464608859664871261e+02
1.252000000000000000e+04 7.221137561811312366e+01
1.252100000000000000e+04 2.578529756494068579e+02
1.252200000000000000e+04 7.616079663163518489e+02
1.252300000000000000e+04 6.370995198696316493e+02
1.252400000000000000e+04 3.206369440902290648e+02
1.252500000000000000e+04 3.466052895388236266e+02
1.252600000000000000e+04 1.113243897450863642e+03
1.252700000000000000e+04 -1.386245144740595379e+02
1.252800000000000000e+04 5.979539564138037804e+02
1.252900000000000000e+04 -1.078832488600281181e+02
1.253000000000000000e+04 1.275365674250726329e+02
1.253100000000000000e+04 -2.310350127765644856e+02
1.253200000000000000e+04 4.939064327949779454e+01
1.253300000000000000e+04 -1.977664746551437815e+02
1.253400000000000000e+04 -7.117579065483570844e+01
1.253500000000000000e+04 6.613254287988323767e+02
1.253600000000000000e+04 1.578989433658526309e+02
1.253700000000000000e+04 3.269214139857618875e+02
1.253800000000000000e+04 2.922930659554829163e+02
1.253900000000000000e+04 1.893036737726073397e+02
1.254000000000000000e+04 1.259629255134112071e+02
1.254100000000000000e+04 4.159722454651719090e+02
1.254200000000000000e+04 1.210351545369582027e+01
1.254300000000000000e+04 1.581378846269006999e+02
1.254400000000000000e+04 1.108798578484169184e+03
1.254500000000000000e+04 2.340919541099525816e+02
1.254600000000000000e+04 -3.737340464214290137e+01
1.254700000000000000e+04 3.219155130092098602e+02
1.254800000000000000e+04 3.978296567242691708e+02
1.254900000000000000e+04 8.583293276094027533e+02
1.255000000000000000e+04 7.825479951562246583e+01
1.255100000000000000e+04 1.606031156564230855e+02
1.255200000000000000e+04 2.607417965291366500e+02
1.255300000000000000e+04 5.316234172710052235e+02
1.255400000000000000e+04 1.909638146760643451e+02
1.255500000000000000e+04 -9.586788070749821600e+01
1.255600000000000000e+04 9.779063904233840958e+02
1.255700000000000000e+04 6.290472595424062092e+02
1.255800000000000000e+04 5.281256942076839778e+02
