# realization, S_1/2
6.249900000000000000e+04 3.904676553222578368e+05
6.250000000000000000e+04 7.718532128577303956e+04
6.250100000000000000e+04 3.171814963097256259e+04
6.250200000000000000e+04 6.733431107209574293e+03
6.250300000000000000e+04 2.115648092683613504e+04
6.250400000000000000e+04 1.227663053305228459e+04
6.250500000000000000e+04 6.884729743370329379e+04
6.250600000000000000e+04 5.646392690149364353e+04
6.250700000000000000e+04 1.353939293586993153e+04
6.250800000000000000e+04 2.192733105549841275e+04
6.250900000000000000e+04 3.251428141681796114e+04
6.251000000000000000e+04 1.885973385028943449e+04
6.251100000000000000e+04 8.133798011552378011e+04
6.251200000000000000e+04 1.284152596404795622e+04
6.251300000000000000e+04 2.534870724991149837e+04
6.251400000000000000e+04 6.857781050577868882e+03
6.251500000000000000e+04 9.902030376836652067e+03
6.251600000000000000e+04 7.319354844673191838e+04
6.251700000000000000e+04 5.700619387673413439e+04
6.251800000000000000e+04 4.573227835574868368e+04
6.251900000000000000e+04 2.951415306211763163e+04
6.252000000000000000e+04 3.518366702415938926e+04
6.252100000000000000e+04 5.317308908067786251e+04
6.252200000000000000e+04 1.955983245157905912e+05
6.252300000000000000e+04 1.095912564144160860e+05
6.252400000000000000e+04 3.016781297117640133e+04
6.252500000000000000e+04 1.620777804444810608e+05
6.252600000000000000e+04 3.366056670273288619e+05
6.252700000000000000e+04 2.535493712431025051e+04
6.252800000000000000e+04 9.271786827715234540e+04
6.252900000000000000e+04 1.111950728276929476e+04
6.253000000000000000e+04 7.769204091552337559e+03
6.253100000000000000e+04 1.781631921691048774e+04
6.253200000000000000e+04 1.450098545051993096e+04
6.253300000000000000e+04 7.070333708241774730e+03
6.253400000000000000e+04 1.523272313934073645e+04
6.253500000000000000e+04 7.114991858227299235e+04
6.253600000000000000e+04 1.412212990707442441e+04
6.253700000000000000e+04 4.215782476618758665e+04
6.253800000000000000e+04 2.471495051018595404e+04
6.253900000000000000e+04 3.055287752796716813e+04
6.254000000000000000e+04 1.692308541041409262e+04
6.254100000000000000e+04 3.818543921255250461e+04
6.254200000000000000e+04 1.799898971029546010e+04
6.254300000000000000e+04 1.106803385167297347e+04
6.254400000000000000e+04 1.991948781740748964e+05
6.254500000000000000e+04 2.382730070255095416e+04
6.254600000000000000e+04 1.770889119474994368e+04
6.254700000000000000e+04 2.816303179526312670e+04
6.254800000000000000e+04 5.333659987532484229e+04
6.254900000000000000e+04 2.195368826592816040e+05
6.255000000000000000e+04 1.603473835197377230e+04
6.255100000000000000e+04 4.349004493232480309e+04
6.255200000000000000e+04 1.057109314086002996e+05
6.255300000000000000e+04 9.119684310238929174e+04
6.255400000000000000e+04 3.479918131247669953e+04
6.255500000000000000e+04 7.457052737101085768e+03
6.255600000000000000e+04 2.046871683430495905e+05
6.255700000000000000e+04 1.544427673366127419e+05
6.255800000000000000e+04 8.558455078422118095e+04
6.255900000000000000e+04 1.612003738301977501e+04
6.256000000000000000e+04 1.512546928018514009e+05
6.256100000000000000e+04 8.267198932161001721e+04
6.256200000000000000e+04 4.122284013117451832e+04
6.256300000000000000e+04 5.542711267704674538e+04
6.256400000000000000e+04 2.934678258550246755e+04
6.256500000000000000e+04 1.472458829715315005e+04
6.256600000000000000e+04 4.388996136063838094e+03
6.256700000000000000e+04 1.492744672034071482e+04
6.256800000000000000e+04 3.358856102959746204e+04
6.256900000000000000e+04 4.361483854753244668e+04
6.257000000000000000e+04 1.563463264534142945e+04
6.257100000000000000e+04 1.286245583588708723e+04
6.257200000000000000e+04 1.058197188550661813e+05
6.257300000000000000e+04 6.240424182206113619e+04
6.257400000000000000e+04 5.164479632623066573e+04
6.257500000000000000e+04 3.654728872244622908e+05
6.257600000000000000e+04 1.576067245455627562e+04
6.257700000000000000e+04 5.057383472216747577e+03
6.257800000000000000e+04 2.803797226932759440e+04
6.257900000000000000e+04 7.452937113707030949e+04
6.258000000000000000e+04 1.615905951354017270e+04
6.258100000000000000e+04 7.975119514352735132e+04
6.258200000000000000e+04 1.194769351032397572e+04
6.258300000000000000e+04 5.462333490150235775e+03
6.258400000000000000e+04 6.387143800500760699e+04
6.258500000000000000e+04 3.517767229102717829e+04
6.258600000000000000e+04 1.592165798098561354e+05
6.258700000000000000e+04 3.167941841598519022e+04
6.258800000000000000e+04 2.873897615246169153e+04
6.258900000000000000e+04 1.874141368351135679e+04
6.259000000000000000e+04 5.607589761175836611e+04
6.259100000000000000e+04 1.241811651571621042e+04
6.259200000000000000e+04 6.378893092582359714e+03
6.259300000000000000e+04 2.731552436731270063e+04
6.259400000000000000e+04 4.164085559329517127e+04
6.259500000000000000e+04 8.993461653052215115e+04
6.259600000000000000e+04 2.722596880856117350e+05
6.259700000000000000e+04 2.898631471737926404e+04
6.259800000000000000e+04 4.142754484946101002e+03
6.259900000000000000e+04 2.159933822458543000e+05
6.260000000000000000e+04 2.509027704313646609e+04
6.260100000000000000e+04 3.830067601244239631e+04
6.260200000000000000e+04 6.119562991928656629e+03
6.260300000000000000e+04 1.081556039558684279e+04
